,0
0,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 9263, 16334, 556, 5490, 11785, 1587, 4178, 5577, 5978, 2241, 1491, 13700, 9415]]"
1,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 3272, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
2,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 4692, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 15857]]"
3,"[[3553, 471, 14611, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 1491, 2241, 5978, 13700, 10328]]"
4,"[[3553, 7529, 11912, 3272, 3390, 15881, 13743, 9415, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700]]"
5,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 7168, 10328, 8350]]"
6,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 14051, 2241, 5978, 1491, 13700, 10328, 8350]]"
7,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 15857, 5978, 1491, 11487, 13700, 10328]]"
8,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
9,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 2241, 5978, 13700, 1491, 10328, 8350, 1213]]"
10,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 7335, 8350]]"
11,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
12,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 9415, 5577, 12782, 2241, 5978, 1491, 13700, 10328]]"
13,"[[3553, 471, 11912, 3390, 14611, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 4579, 1491, 13700]]"
14,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 11487]]"
15,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
16,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 3272, 16334, 556, 5490, 11785, 1587, 5577, 1491, 9415, 2241, 5978, 13700, 10328]]"
17,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 1491, 2241, 5978, 13700, 10328, 8350, 1213]]"
18,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
19,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 6831, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
20,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 7426, 8350]]"
21,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 11057, 1491, 13700, 10328, 8350]]"
22,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 3272, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
23,"[[3553, 11912, 11916, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 2241, 5978, 13700, 1491, 10328, 8350]]"
24,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
25,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
26,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 14051, 1491, 13700, 10328, 8350]]"
27,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 14611, 1491, 13700, 10328, 8350]]"
28,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15857, 1491, 13700, 10328, 8350]]"
29,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5577, 5490, 11785, 1587, 5978, 2241, 13700, 10328, 1491, 7335, 8350]]"
30,"[[3553, 11912, 3390, 15881, 13743, 3272, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
31,"[[3553, 11912, 3390, 1877, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
32,"[[3553, 11912, 13743, 3390, 2773, 15881, 5347, 1630, 16334, 556, 5490, 1587, 11785, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
33,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 14051, 1491, 13700, 10328, 8350]]"
34,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 4178, 7335]]"
35,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
36,"[[3553, 11912, 13743, 3390, 6811, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 14051, 1491, 13700, 10328]]"
37,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
38,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 7426, 1491, 13700, 10328, 8350]]"
39,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
40,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
41,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15623, 1491, 13700, 10328, 15857]]"
42,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 13999, 1491, 13700, 10328, 8350]]"
43,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 3438, 10328, 8350]]"
44,"[[3553, 11912, 3390, 5033, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 9263, 2241, 5978, 1491, 13700, 10328]]"
45,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 11057, 5978, 2241, 1491, 13700, 10328, 1213]]"
46,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
47,"[[3553, 11912, 13743, 6811, 11421, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328]]"
48,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 5396, 8350]]"
49,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
50,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 4958, 8350]]"
51,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 6811, 1491, 13700, 10328, 8350]]"
52,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15857, 1491, 13700, 10328, 14183]]"
53,"[[3553, 11912, 13743, 3390, 15881, 3272, 5347, 1630, 16334, 556, 7426, 5490, 11785, 5577, 1587, 2241, 5978, 1491, 13700, 10328]]"
54,"[[3553, 11912, 3390, 15881, 13743, 1491, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 13700, 10328, 1213, 8350]]"
55,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 13296, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
56,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 3272, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
57,"[[3553, 11912, 3390, 3920, 13743, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
58,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 6008, 5490, 11785, 1587, 5577, 1491, 2241, 5978, 13700, 10328, 15857]]"
59,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15202, 1491, 13700, 10328, 8350]]"
60,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
61,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 12388]]"
62,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 2241, 5978, 4178, 13700, 10328, 1491, 8350]]"
63,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
64,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
65,"[[3553, 11912, 13743, 3390, 13806, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
66,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 14611, 2241, 5978, 15857, 1491, 13700, 10328]]"
67,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1644, 1491, 13700, 10328, 1213]]"
68,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 3272, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
69,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
70,"[[3553, 11912, 3390, 13743, 15881, 5347, 1630, 16334, 556, 5490, 1587, 11785, 9263, 5577, 2241, 5978, 3333, 1491, 13700, 10328]]"
71,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 14611, 5490, 11785, 5577, 1587, 5978, 2241, 1491, 13700, 10328, 8350]]"
72,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 4178, 15831, 1491, 6370, 13700]]"
